"FROM","total_posts","total_interactions","total_reach","stepinac_share","typology"
"ljportal.com",303,30621,388251,0.0363036303630363,"Divovi"
"ks.hr",288,3234,66717,0.0833333333333333,"Specijalizirani akteri"
"glas.hr",287,2,90,0.0522648083623693,"Specijalizirani akteri"
"hkv.hr",287,2682,71088,0.18815331010453,"Specijalizirani akteri"
"autograf.hr",286,16572,272418,0.0734265734265734,"Divovi"
"karmel.hr",286,3221,44697,0.108391608391608,"Specijalizirani akteri"
"antenazadar.hr",285,9714,256311,0.0280701754385965,"Divovi"
"oluja.info",283,1610,38520,0.0106007067137809,"Specijalizirani akteri"
"dalmacijanews.hr",258,43636,667332,0.0193798449612403,"Divovi"
"hercegbosna.org",257,0,26985,0.614785992217899,"Specijalizirani akteri"
"icv.hr",243,29843,379521,0.037037037037037,"Divovi"
"zagorje.com",243,31331,438516,0.0493827160493827,"Divovi"
"035portal.hr",238,14225,223065,0.0294117647058824,"Divovi"
"glasgacke.hr",237,7083,131121,0.0590717299578059,"Divovi"
"hrvatska-danas.com",237,20795,366597,0.147679324894515,"Divovi"
"zupa-svkriz.hr",237,146,6093,0.0168776371308017,"Specijalizirani akteri"
"braniteljski-portal.com",232,32454,497526,0.206896551724138,"Divovi"
"brodportal.hr",231,18048,221007,0.0303030303030303,"Divovi"
"medjimurski.hr",228,29700,480996,0.0570175438596491,"Divovi"
"hu-benedikt.hr",226,1839,36783,0.079646017699115,"Specijalizirani akteri"
"czn.hr",216,337,6687,0.305555555555556,"Specijalizirani akteri"
"mnovine.hr",209,13255,316791,0.0382775119617225,"Divovi"
"biskupijakrk.hr",207,5333,113391,0.0338164251207729,"Megafoni"
"zadarskilist.hr",206,8171,166221,0.0339805825242718,"Divovi"
"hia.com.hr",205,2397,60255,0.11219512195122,"Specijalizirani akteri"
"isusovci.hr",197,15781,204111,0,"Divovi"
"book.hr",195,64706,828405,0.0307692307692308,"Divovi"
"dubrovnikportal.com",194,61,2745,0.0154639175257732,"Specijalizirani akteri"
"n1info.hr",191,27844,500076,0.0523560209424084,"Divovi"
"01portal.hr",189,7774,123039,0.111111111111111,"Divovi"
"liberoportal.hr",189,2891,52443,0.00529100529100529,"Specijalizirani akteri"
"sibenskiportal.hr",188,9575,142785,0.0319148936170213,"Divovi"
"glasgrada.hr",183,1165,38547,0.0109289617486339,"Specijalizirani akteri"
"zupa-sv-nikole-varazdin.hr",183,0,0,0.0163934426229508,"Specijalizirani akteri"
"novosti.hr",179,24705,294703,0.0335195530726257,"Divovi"
"vinkulja.hr",178,17782,224064,0.0786516853932584,"Divovi"
"regionalni.com",176,16810,242658,0.0454545454545455,"Divovi"
"varazdinske-vijesti.hr",172,19772,322686,0.0988372093023256,"Divovi"
"skac.hr",171,6058,97524,0.0116959064327485,"Graditelji zajednica"
"dubrovniknet.hr",167,10522,144936,0.00598802395209581,"Divovi"
"istra24.hr",165,9528,148941,0.00606060606060606,"Divovi"
"moje-djakovo.com",158,17259,220077,0.0126582278481013,"Divovi"
"zupcica.hr",158,5192,76752,0.0253164556962025,"Specijalizirani akteri"
"radioimotski.hr",153,14161,178272,0.0065359477124183,"Divovi"
"radio-djakovo.hr",149,13565,202401,0.00671140939597315,"Divovi"
"vjeraufanjeljubav.com.hr",149,5572,178524,0.0469798657718121,"Megafoni"
"sbperiskop.net",147,181,2805,0.149659863945578,"Specijalizirani akteri"
"tvprofil.com",143,39,28353,0.048951048951049,"Specijalizirani akteri"
"klikaj.hr",141,8147,112356,0.0921985815602837,"Divovi"
