HR;Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
protivni?ki;0;1;1;0;1;0;0;0;0;0
neprijateljski;0;1;1;0;1;0;0;0;0;0
antraks;0;1;0;0;1;1;0;1;0;0
antibiotici;1;0;0;0;0;0;0;0;0;0
antikrist;0;1;1;0;1;1;0;0;0;0
predvi?anje;0;0;0;1;0;0;0;0;0;0
iš?ekivanje;0;0;0;1;0;0;0;0;0;0
anticipacija;0;0;0;1;0;0;0;0;0;0
anticipiran;0;0;0;1;0;0;0;0;0;0
o?ekivan;0;0;0;1;0;0;0;0;0;0
protuotrov;1;0;0;1;0;0;0;0;0;1
antifungalan;1;0;0;0;0;0;0;0;0;1
protugljivi?ni;1;0;0;0;0;0;0;0;0;1
antimikoti?ki;1;0;0;0;0;0;0;0;0;1
antipatija;0;1;1;0;1;0;0;0;0;0
netrpeljivost;0;1;1;0;1;0;0;0;0;0
zastario;0;1;0;0;0;0;0;0;0;0
staromodan;0;1;0;0;0;0;0;0;0;0
starinski;1;0;0;0;0;0;0;0;0;0
antisepti?ki;1;0;0;0;0;0;0;0;0;1
nedruštven;0;1;1;0;1;1;0;1;0;0
antisocijalan;0;1;1;0;1;1;0;1;0;0
nesocijalan;0;1;1;0;1;1;0;1;0;0
antiteza;0;1;1;0;0;0;0;0;0;0
proturje?je;0;1;1;0;0;0;0;0;0;0
suprotnost;0;1;1;0;0;0;0;0;0;0
anksioznost;0;1;1;1;0;1;0;1;0;0
tjeskoba;0;1;1;1;0;1;0;1;0;0
zabrinut;0;1;0;1;0;1;0;0;0;0
nemiran;0;1;0;1;0;1;0;0;0;0
tjeskoban;0;1;0;1;0;1;0;0;0;0
apaš;0;1;0;0;0;1;0;0;0;0
apati?an;0;1;0;0;0;0;0;1;0;0
ravnodušan;0;1;0;0;0;0;0;1;0;0
apatija;0;1;0;0;0;0;0;1;0;0
ravnodušnost;0;1;0;0;0;0;0;1;0;0
uš;0;1;0;0;1;0;0;0;0;0
samopouzdanje;1;0;0;0;0;0;0;0;0;0
samouvjerenost;1;0;0;0;0;0;0;0;0;0
apologetski;1;0;0;0;0;0;0;0;0;1
ispri?ati se;1;0;0;0;0;0;0;1;0;1
isprika;1;0;0;0;0;0;0;0;0;0
apostol;1;0;0;0;0;0;0;0;0;1
apostolski;0;0;0;0;0;0;0;0;0;1
užasan;0;1;0;0;1;1;0;0;0;0
prikaza;0;0;0;0;0;1;0;0;1;0
apel;0;0;0;1;0;0;0;0;0;0
žalba;0;0;0;1;0;0;0;0;0;0
upala slijepog crijeva;0;1;0;0;0;1;0;1;0;0
upala crvuljka;0;1;0;0;0;1;0;1;0;0
pljesak;1;0;0;0;0;0;1;0;1;1
aplauz;1;0;0;0;0;0;1;0;1;1
podnositelj;0;0;0;1;0;0;0;0;0;0
kandidat;0;0;0;1;0;0;0;0;0;0
;0;0;0;1;0;0;0;0;0;0
zahvalnost;1;0;0;0;0;0;1;0;0;1
uvažavanje;1;0;0;0;0;0;1;0;0;1
uhapsiti;0;0;0;0;0;1;0;0;0;0
uhititi;0;0;0;0;0;1;0;0;0;0
uhi?enje;0;1;0;0;0;1;0;0;0;0
hapšenje;0;1;0;0;0;1;0;0;0;0
prestrašen;0;1;0;1;0;1;0;0;0;0
zabrinut;0;1;0;1;0;1;0;0;0;0
