HR;Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
neprijateljski;0;1;1;0;1;1;0;0;0;0
neprijateljstvo;0;1;1;0;0;1;0;0;0;0
neprijateljstvo;0;1;1;0;1;0;0;0;0;0
usijan;0;0;1;0;0;0;0;0;0;0
doma?instvo;1;0;0;0;0;0;0;0;0;0
ku?anstvo;1;0;0;0;0;0;0;0;0;0
pospremanje;1;0;0;0;0;0;0;0;0;0
urlati;0;1;1;0;1;1;0;1;1;0
zavijati;0;1;1;0;1;1;0;1;1;0
ljutiti se;0;1;1;0;1;0;0;0;0;0
zagrliti;1;0;0;0;0;0;1;0;0;1
zagrljaj;1;0;0;0;0;0;1;0;0;1
div;0;0;0;0;1;0;0;0;0;0
human;1;0;0;0;0;0;0;0;0;0
humanitarac;1;0;0;1;0;0;1;0;1;1
humanitaran;1;0;0;1;0;0;1;0;1;1
?ovje?anstvo;1;0;0;0;0;0;1;0;0;1
skroman;1;1;0;0;1;0;0;1;0;0
skroman;1;0;0;0;0;0;0;1;0;0
skromno;1;0;0;0;0;0;0;0;0;0
prijevara;0;1;1;0;1;0;0;1;0;0
prevara;0;1;1;0;1;0;0;1;0;0
obmana;0;1;1;0;1;0;0;1;0;0
podvala;0;1;1;0;1;0;0;1;0;0
poniziti;0;1;1;0;0;0;0;1;0;0
ponižavaju?i;0;1;0;0;1;0;0;0;0;0
poniženje;0;1;0;0;1;0;0;1;0;0
poniznost;1;0;0;0;0;0;0;0;0;1
humorist;1;0;0;0;0;0;0;0;0;0
komi?ar;1;0;0;0;0;0;0;0;0;0
smiješan;1;0;0;0;0;0;1;0;0;0
slutnja;0;1;0;0;0;0;0;0;0;0
gladan;0;1;0;1;0;0;0;0;0;0
lovac;0;1;0;1;0;1;0;1;0;0
lov;0;1;1;1;0;1;0;0;0;0
hura;1;0;0;0;0;0;1;0;0;0
uragan;0;1;0;0;0;1;0;0;0;0
užurban;0;1;0;1;0;0;0;0;0;0
žuriti;0;0;0;1;0;0;0;0;0;0
žurba;0;0;0;1;0;0;0;0;0;0
povrijediti;0;1;1;0;0;1;0;1;0;0
raniti;0;1;1;0;0;1;0;1;0;0
štetan;0;1;1;0;1;1;0;1;0;0
škodljiv;0;1;1;0;1;1;0;1;0;0
ranjavanje;0;1;1;0;0;1;0;1;0;0
štedljivost;1;0;0;0;0;0;0;0;0;1
ušutkati;1;0;0;0;0;0;0;0;0;0
prevarant;0;1;0;0;0;0;0;0;0;0
koliba;1;0;0;0;0;0;0;1;0;0
hidra;0;1;0;0;0;1;0;0;0;0
hidrocefalus;0;1;0;0;1;1;0;1;0;0
higijenski;1;0;0;0;0;0;0;0;0;0
himna;1;0;0;1;0;0;1;1;0;1
pompa;0;1;0;1;0;0;0;0;0;0
hiperbola;0;1;0;0;0;0;0;0;0;0
hipertrofija;0;0;0;0;1;1;0;0;1;0
licemjerje;0;1;0;0;0;0;0;0;0;0
licemjer;0;1;0;0;1;0;0;0;0;0
licemjeran;0;1;0;0;1;0;0;0;0;0
hipoteza;0;0;0;1;0;0;0;0;1;0
histerija;0;1;0;0;0;1;0;0;0;0
histeri?an;0;1;1;0;0;1;0;0;0;0
idealizam;1;0;0;0;0;0;0;0;0;0
idiotizam;0;1;1;0;1;0;0;1;0;0
glupost;0;1;1;0;1;0;0;1;0;0
idiot;0;1;0;0;1;0;0;0;0;0
glupan;0;1;0;0;1;0;0;0;0;0
budala;0;1;0;0;1;0;0;0;0;0
bedak;0;1;0;0;1;0;0;0;0;0
idiotski;0;1;1;0;1;0;0;0;0;0
glup;0;1;1;0;1;0;0;0;0;0
besposli?ar;0;1;0;0;0;0;0;0;0;0
idol;1;0;0;0;0;0;0;0;0;0
idolatrija;0;1;0;0;1;1;0;0;0;0
neznanje;0;1;0;0;0;0;0;0;0;0
neuk;0;1;0;0;1;0;0;0;0;0
zanemariti;0;1;0;0;0;0;0;0;0;0
ignorirati;0;1;0;0;0;0;0;0;0;0
bolestan;0;1;1;0;1;1;0;1;0;0
nezakonit;0;1;1;0;1;1;0;1;0;0
ilegalan;0;1;1;0;1;1;0;1;0;0
nezakonitost;0;1;1;0;1;1;0;0;0;0
ne?itak;0;1;0;0;0;0;0;0;0;0
ne?itljiv;0;1;0;0;0;0;0;0;0;0
nelegitiman;0;1;1;0;1;1;0;1;1;0
nezakonit;0;1;1;0;1;1;0;1;1;0
nedopušten;0;1;1;0;1;1;0;0;0;0
nezakonit;0;1;1;0;1;1;0;0;0;0
nepismen;0;1;0;0;1;0;0;0;0;0
bolest;0;1;0;0;0;1;0;1;0;0
nelogi?an;0;1;0;0;0;0;0;0;0;0
osvijetliti;1;0;0;1;0;0;1;0;1;0
rasvijetliti;1;0;0;1;0;0;1;0;1;0
razjasniti;1;0;0;1;0;0;1;0;1;0
osvjetljenje;1;0;0;0;0;0;1;0;1;1
razjašnjenje;1;0;0;0;0;0;1;0;1;1
iluzija;0;1;0;0;0;0;0;0;1;0
privid;0;1;0;0;0;0;0;0;1;0
ilustrirati;1;0;0;0;0;0;0;0;0;0
slavan;1;0;0;0;0;0;0;0;0;0
?uven;1;0;0;0;0;0;0;0;0;0
glasovit;1;0;0;0;0;0;0;0;0;0
maštovit;1;0;0;0;0;0;0;0;0;0
imitiran;0;1;0;0;0;0;0;0;0;0
oponašan;0;1;0;0;0;0;0;0;0;0
imitacija;0;1;0;0;0;0;0;0;0;0
oponašanje;0;1;0;0;0;0;0;0;0;0
besprijekoran;1;0;0;0;0;0;1;0;0;1
nezreo;0;1;0;1;0;0;0;0;0;0
nezrelost;0;1;1;1;0;0;0;0;0;0
neposrednost;0;0;0;0;0;0;0;0;1;0
odmah;1;1;0;1;0;0;0;0;0;0
neizmjeran;1;0;0;0;0;0;0;0;0;0
udubiti se;1;0;0;1;0;1;1;0;1;1
useljenik;0;0;0;0;0;1;0;0;0;0
imigrant;0;0;0;0;0;1;0;0;0;0
blizak;0;0;0;1;0;1;0;0;0;0
predstoje?i;0;0;0;1;0;1;0;0;0;0
nemoralan;0;1;1;0;1;1;0;1;0;0
nemoralnost;0;1;1;0;1;0;0;0;0;0
besmrtan;1;0;0;0;0;0;0;0;0;0
besmrtnost;0;0;0;1;0;0;0;0;0;0
nepokretan;1;1;0;0;0;0;0;0;0;1
imunizacija;0;0;0;0;0;0;0;0;0;1
narušavati;0;1;0;0;0;0;0;0;0;0
pogoršati;0;1;0;0;0;0;0;0;0;0
pogoršanje;0;1;0;0;0;0;0;0;0;0
ošte?enje;0;1;0;0;0;0;0;0;0;0
doprinijeti;1;0;0;0;0;0;0;0;0;1
nepristran;1;0;0;0;0;0;0;0;0;1
nepristranost;1;0;0;0;0;0;0;0;0;1
neprohodan;0;1;0;0;0;0;0;0;0;0
nestrpljivost;0;1;0;0;0;0;0;0;0;0
nestrpljiv;0;1;0;1;0;0;0;0;0;0
optužiti;0;1;0;0;1;1;0;0;0;0
okriviti;0;1;0;0;1;1;0;0;0;0
pobijanje;0;1;0;0;0;0;0;0;0;0
optužba;0;1;0;0;0;0;0;0;0;0
besprijekoran;1;0;0;0;0;0;0;0;0;1
ometati;0;1;0;0;0;0;0;0;0;0
nadolaze?i;0;0;0;1;0;1;0;0;0;0
neprobojan;0;0;0;0;0;0;0;0;0;1
nesavršenost;0;1;0;0;0;0;0;0;0;0
nesavršeno;0;1;0;0;0;0;0;0;0;0
nepropustan;0;0;1;0;0;1;0;0;0;0
oponašati;0;1;0;0;0;0;0;0;0;0
oponašanje;0;1;0;0;0;0;0;0;0;0
neprobojan;1;0;0;0;0;0;0;0;0;0
neumoljiv;0;1;0;0;0;0;0;0;0;0
uplesti;0;1;1;0;0;0;0;0;0;0
neuljudan;0;1;0;0;1;0;0;0;0;0
nepristojan;0;1;0;0;1;0;0;0;0;0
važnost;1;0;0;1;0;0;0;0;0;0
važno;1;0;0;0;0;0;0;0;0;1
nametanje;0;1;0;0;0;0;0;0;0;0
nemogu?;0;1;0;0;0;0;0;1;0;0
impotencija;0;1;1;0;0;1;0;1;0;0
impotentan;0;1;0;0;0;0;0;0;0;0
zaplijeniti;0;1;0;0;0;0;0;0;0;0
neprakti?an;0;1;0;0;0;0;0;0;0;0
neizvediv;0;1;0;0;0;0;0;0;0;0
neostvariv;0;1;0;0;0;0;0;0;0;0
impresionirati;1;0;0;0;0;0;0;0;0;0
utisak;1;0;0;0;0;0;0;0;0;0
osjetljiv;0;0;0;0;0;0;0;0;0;1
zatvoriti;0;1;0;0;0;0;0;0;0;0
zarobiti;0;1;0;0;0;0;0;0;0;0
zatvoren;0;1;1;0;1;1;0;1;0;0
zarobljen;0;1;1;0;1;1;0;1;0;0
zatvor;0;1;1;0;1;1;0;1;0;0
neprimjerenost;0;1;0;0;0;0;0;0;0;0
poboljšati;1;0;0;1;0;0;1;0;0;1
poboljšan;1;0;0;0;0;0;0;0;0;0
poboljšanje;1;0;0;0;0;0;1;0;0;1
poboljšanje;1;0;0;0;0;0;0;0;0;0
improvizacija;0;0;0;0;0;0;0;0;1;0
improvizirati;1;0;0;1;0;0;0;0;1;0
nesmotren;0;1;0;0;0;0;0;1;0;0
nerazborit;0;1;0;0;0;0;0;1;0;0
ne?ist;0;1;0;0;1;0;0;0;0;0
ne?isto?a;0;1;0;0;1;0;0;0;0;0
okrivljavanje;0;1;0;0;0;0;0;0;0;0
optužba;0;1;0;0;0;0;0;0;0;0
nesposobnost;0;1;0;0;0;0;0;1;0;0
nepristupa?an;0;1;0;0;0;0;0;0;0;0
neto?an;0;1;0;0;0;0;0;0;0;0
nerad;0;1;0;0;0;0;0;0;0;0
nedjelovanje;0;1;0;0;0;0;0;0;0;0
neaktivnost;0;1;0;0;0;0;0;0;0;0
neadekvatnost;0;1;0;0;0;0;0;0;0;0
nedostatnost;0;1;0;0;0;0;0;0;0;0
neadekvatan;0;1;0;0;0;0;0;1;0;0
nedostatan;0;1;0;0;0;0;0;1;0;0
nedopustiv;0;1;1;0;1;0;0;0;0;0
neotu?iv;1;0;0;0;0;0;0;0;0;0
besmislen;0;1;0;0;0;0;0;0;0;0
neprimjenjiv;0;1;0;0;0;0;0;0;0;0
neprikladan;0;1;1;0;1;0;0;1;0;0
nepažnja;0;1;1;0;0;0;0;0;0;0
ne?ujan;0;1;0;0;0;0;0;0;0;0
inauguracijski;0;0;0;1;0;0;0;0;0;0
inauguracija;1;0;0;1;0;0;1;0;0;1
nemjerljiv;0;1;0;0;0;0;0;0;0;0
nemogu?nost;0;1;0;0;0;0;0;0;0;0
zarobljavanje;0;1;1;0;1;1;0;1;0;0
zatvoriti;0;1;1;0;1;1;0;1;0;0
zapaljiv;0;1;1;0;0;1;0;0;1;0
razbjesniti;0;1;1;0;0;0;0;0;0;0
neprestan;0;1;0;0;0;0;0;0;0;0
incest;0;1;1;0;1;1;0;1;0;0
incestan;0;1;0;0;1;0;0;0;0;0
incident;0;0;0;0;0;0;0;0;1;0
spaljivanje;0;1;0;0;0;0;0;0;0;0
jezgrovit;1;0;0;0;0;0;0;0;0;0
huškati;0;1;1;1;0;1;0;0;0;0
dražiti;0;1;1;1;0;1;0;0;0;0
surov;0;1;0;0;0;0;0;0;0;0
naginjati se;0;0;0;0;0;0;0;0;0;1
uklju?iti;1;0;0;0;0;0;0;0;0;0
uklju?en;1;0;0;0;0;0;0;0;0;0
uklju?uju?i;1;0;0;0;0;0;0;0;0;0
uklju?enje;0;0;0;0;0;0;0;0;0;1
uklju?iv;1;0;0;0;0;0;0;0;0;0
nedosljedan;0;1;0;0;0;0;0;0;0;0
nerazgovijetan;0;1;0;0;0;0;0;0;0;0
nerazumljiv;0;1;0;0;0;0;0;0;0;0
prihod;1;1;0;1;0;0;1;1;0;1
nespojiv;0;1;1;0;1;0;0;1;0;0
nekompatibilan;0;1;1;0;1;0;0;1;0;0
nesposobnost;0;1;0;0;0;0;0;0;0;0
nesposoban;0;1;1;0;0;0;0;1;0;0
nepotpunost;0;1;0;0;0;0;0;0;0;0
nerazumljiv;0;1;0;0;0;0;0;0;0;0
neprimjeren;0;1;1;0;0;0;0;0;0;0
nevažan;0;1;0;0;0;0;0;1;0;0
nesmotren;0;1;1;0;1;0;0;1;0;0
bezobziran;0;1;1;0;1;0;0;1;0;0
proturje?nost;0;1;0;0;0;0;0;0;0;0
nedosljednost;0;1;0;0;0;0;0;0;0;0
inkontinencija;0;0;0;0;0;0;0;0;1;0
nezgodan;0;1;1;0;1;0;0;1;0;0
neto?an;0;1;0;0;0;0;0;0;0;0
pove?ati;1;0;0;0;0;0;0;0;0;0
rast;1;0;0;0;0;0;0;0;0;0
skepti?an;0;1;1;0;1;0;0;0;0;0
okrivljavanje;0;1;0;0;0;1;0;1;0;0
inkriminacija;0;1;0;0;0;1;0;1;0;0
inkubus;0;1;0;0;1;1;0;0;0;0
zadobiti;0;1;0;0;0;0;0;0;0;0
neizlje?iv;0;1;1;0;1;1;0;1;0;0
napad;0;1;0;0;0;1;0;0;0;0
prepad;0;1;0;0;0;1;0;0;0;0
nepristojnost;0;0;1;0;1;0;0;0;0;0
nepristojan;0;1;0;0;1;0;0;0;0;0
neodlu?nost;0;1;0;0;0;0;0;0;0;0
neodlu?an;0;1;0;0;0;0;0;0;0;0
neobranjiv;0;1;0;0;0;1;0;0;0;0
neoprostiv;0;1;0;0;0;1;0;0;0;0
neizbrisiv;1;0;0;0;0;0;0;0;0;1
obeštetiti;0;1;0;0;0;0;0;0;0;0
odšteta;1;0;0;0;0;0;0;0;0;1
uvu?i;0;0;0;0;0;0;0;0;0;1
uvlaka;0;0;0;0;0;0;0;0;0;1
dužni?ki;0;1;1;0;0;0;0;0;0;0
nezavisnost;1;0;0;1;0;0;1;0;1;1
neovisnost;1;0;0;1;0;0;1;0;1;1
neuništiv;1;0;0;0;0;0;0;0;0;1
neodre?en;0;1;0;0;0;0;0;0;0;0
optužiti;0;1;1;0;0;1;0;0;0;0
optužnica;0;1;0;0;0;1;0;0;0;0
ravnodušnost;0;1;1;0;1;1;0;1;0;0
ravnodušje;0;1;1;0;1;1;0;1;0;0
siromašan;0;1;0;0;0;0;0;1;0;0
ogor?en;0;1;1;0;0;0;0;0;0;0
ozloje?en;0;1;1;0;0;0;0;0;0;0
ogor?enje;0;1;1;0;1;0;0;0;0;0
ozloje?enost;0;1;1;0;1;0;0;0;0;0
nejasan;0;1;0;0;0;0;0;0;0;0
individualnost;1;0;0;0;0;0;0;0;0;0
nedjeljiv;0;0;0;0;0;0;0;0;0;1
indoktrinacija;0;1;1;0;0;1;0;0;0;0
lijen;0;1;0;0;0;0;0;0;0;0
nesalomljiv;1;0;0;0;0;1;0;0;0;0
neopisiv;1;0;0;0;0;0;0;0;0;0
nedjelotvoran;0;1;0;0;0;0;0;0;0;0
neu?inkovit;0;1;0;0;0;0;0;0;0;0
neuspješan;0;1;0;0;1;0;0;0;0;0
neu?inkovit;0;1;0;0;1;0;0;0;0;0
neefikasnost;0;1;0;0;1;0;0;1;0;0
neu?inkovitost;0;1;0;0;1;0;0;1;0;0
neefikasan;0;1;0;0;0;0;0;1;0;0
nesposoban;0;1;1;0;1;0;0;0;0;0
nesposobnost;0;1;0;0;1;1;0;1;0;0
nejednakost;0;1;1;0;0;1;0;1;0;0
nepravedan;0;1;0;0;0;0;0;0;0;0
neaktivan;0;1;0;0;0;0;0;0;0;0
nepokretan;0;1;0;0;0;0;0;0;0;0
neoprostiv;0;1;1;0;1;0;0;1;0;0
povoljan;1;0;0;0;0;0;0;0;0;0
neiskustvo;0;1;0;0;0;0;0;0;0;0
neiskusan;0;1;0;0;0;0;0;0;0;0
neobjašnjiv;0;1;0;0;0;0;0;0;1;0
nepogrešivost;0;0;0;0;0;0;0;0;0;1
nepogrešiv;1;0;0;0;0;0;0;0;0;0
ozloglašen;0;1;1;0;1;1;0;0;0;0
zloglasnost;0;1;0;0;0;0;0;1;0;0
novoro?en?e;1;0;0;1;0;1;1;0;1;0
dojen?e;1;0;0;1;0;1;1;0;1;0
dijete;1;0;0;1;0;1;1;0;1;0
?edomorstvo;0;1;1;1;1;1;0;1;0;0
djetinjast;0;1;1;0;1;0;0;0;0;0
infarkt;0;1;0;0;0;1;0;0;1;0
zaraziti;0;1;0;0;1;0;0;0;0;0
infekcija;0;1;0;0;0;1;0;0;0;0
zaraza;0;1;0;0;0;1;0;0;0;0
infektivan;0;1;0;0;1;1;0;1;0;0
zarazan;0;1;0;0;1;1;0;1;0;0
inferioran;0;1;0;0;0;0;0;1;0;0
lošiji;0;1;0;0;0;0;0;1;0;0
podre?en;0;1;0;0;0;0;0;1;0;0
inferiornost;0;1;0;0;0;0;0;0;0;0
po?injenost;0;1;0;0;0;0;0;0;0;0
pakao;0;1;1;0;0;1;0;0;0;0
neplodnost;0;1;0;0;0;0;0;1;0;0
zaraza;0;1;0;0;1;1;0;0;0;0
nevjernik;0;1;1;0;1;1;0;0;0;0
nevjera;0;1;1;0;1;1;0;1;0;0
infiltracija;1;1;0;0;0;0;0;0;0;0
beskona?an;1;0;0;0;0;0;0;0;0;0
vje?nost;1;0;0;1;0;0;1;0;0;1
nemo?an;0;1;0;0;0;0;0;0;0;0
nemo?;0;1;0;0;0;1;0;0;0;0
upala;0;1;0;0;0;0;0;0;0;0
napuhan;0;1;0;0;0;0;0;0;0;0
inflacija;0;1;0;0;0;1;0;0;0;0
nanijeti;0;1;1;0;0;1;0;1;0;0
nanošenje;0;1;0;0;0;1;0;1;0;0
utjecaj;1;1;0;0;0;0;0;0;0;0
utjecajan;1;0;0;0;0;0;0;0;0;1
influenca;0;1;0;0;0;0;0;0;0;0
gripa;0;1;0;0;0;0;0;0;0;0
obavijestiti;0;0;0;0;0;0;0;0;0;1
informirati;0;0;0;0;0;0;0;0;0;1
informacija;1;0;0;0;0;0;0;0;0;0
informator;0;1;0;0;0;0;0;0;0;0
prekršaj;0;1;1;0;0;0;0;0;0;0
kršenje;0;1;1;0;0;0;0;0;0;0
prijestup;0;1;1;0;0;0;0;0;0;0
rijedak;0;0;0;0;0;0;0;0;1;0
rijetko;0;1;0;0;0;0;0;0;0;0
prekršaj;0;1;0;0;0;0;0;0;0;0
kršenje;0;1;0;0;0;0;0;0;0;0
prijestup;0;1;0;0;0;0;0;0;0;0
genijalan;1;0;0;0;0;0;0;0;0;0
baština;1;0;0;1;0;0;1;0;1;1
nasljedstvo;1;0;0;1;0;0;1;0;1;1
sprije?iti;0;1;1;0;1;0;0;1;0;0
negostoljubiv;0;1;0;0;0;0;0;1;0;0
nehuman;0;1;1;0;1;1;0;1;0;0
ne?ovje?an;0;1;1;0;1;1;0;1;0;0
ne?ovje?nost;0;1;0;0;0;0;0;1;0;0
nehumanost;0;1;0;0;0;0;0;1;0;0
neprijateljski;0;1;1;0;0;0;0;1;0;0
jedinstven;1;0;0;0;0;0;0;0;0;1
bezakonje;0;1;0;0;1;0;0;0;0;0
nepravda;0;1;0;0;1;0;0;0;0;0
nemoralnost;0;1;0;0;1;0;0;0;0;0
nepravednost;0;1;0;0;1;0;0;0;0;0
ubrizgavanje;0;0;0;0;0;1;0;0;0;0
zabrana;0;1;0;0;0;0;0;0;0;0
ozlijediti;0;1;1;0;0;1;0;1;0;0
ozlije?en;0;1;0;0;0;1;0;1;0;0
štetan;0;1;1;0;0;1;0;1;0;0
škodljiv;0;1;1;0;0;1;0;1;0;0
ozljeda;0;1;1;0;0;1;0;1;0;0
nepravda;0;1;1;0;0;0;0;0;0;0
zatvorenik;0;1;0;0;1;1;0;0;0;0
nevinost;1;0;0;0;0;0;0;0;0;0
nedužnost;1;0;0;0;0;0;0;0;0;0
nevin;1;0;0;0;0;0;0;0;0;1
nedužan;1;0;0;0;0;0;0;0;0;1
nevino;1;0;0;0;0;0;0;0;0;0
nedužno;1;0;0;0;0;0;0;0;0;0
neškodljiv;1;0;0;0;0;0;0;0;0;0
inovirati;1;0;0;0;0;0;0;0;0;0
inovacija;1;0;0;0;0;0;0;0;0;0
cijepljenje;0;0;0;1;0;0;0;0;0;1
neispravan;0;1;1;0;0;0;0;0;0;0
ispitiva?;1;0;0;0;0;0;0;0;0;0
pitanje;1;0;0;1;0;0;0;0;0;0
radoznao;1;0;0;0;0;0;0;0;0;0
znatiželjan;1;0;0;0;0;0;0;0;0;0
lud;0;1;1;0;0;1;0;0;0;0
ludilo;0;1;1;0;1;1;0;1;0;0
nesiguran;0;1;1;0;0;1;0;1;0;0
nesigurnost;0;1;0;0;0;1;0;0;0;0
nerazdvojan;1;0;0;0;0;0;1;0;0;1
podmukao;0;1;1;0;1;1;0;0;0;0
znak raspoznavanja;1;0;0;0;0;0;0;0;0;0
bezna?ajnost;0;1;0;0;0;0;0;0;0;0
bezna?ajan;0;1;1;0;0;0;0;1;0;0
bljutav;0;1;0;0;0;0;0;0;0;0
drzak;0;1;0;0;0;0;0;0;0;0
insolventnost;0;1;0;0;0;1;0;1;1;0
prezaduženost;0;1;0;0;0;1;0;1;1;0
insolventan;0;1;0;0;0;1;0;1;0;1
prezadužen;0;1;0;0;0;1;0;1;0;1
inspektor;1;0;0;0;0;0;0;0;0;0
istražitelj;1;0;0;0;0;0;0;0;0;0
inspiracija;1;0;0;1;0;0;1;0;0;0
nadahnu?e;1;0;0;1;0;0;1;0;0;0
nadahnuti;1;0;0;1;0;0;1;0;0;1
nadahnut;1;0;0;0;0;0;1;0;1;1
nestabilnost;0;1;0;0;1;1;0;0;0;0
instalirati;0;0;0;1;0;0;0;0;0;0
postaviti;0;0;0;1;0;0;0;0;0;0
ugraditi;0;0;0;1;0;0;0;0;0;0
montirati;0;0;0;1;0;0;0;0;0;0
huškati;0;1;0;0;0;0;0;0;0;0
huškanje;0;1;0;0;0;0;0;0;0;0
instinktivan;1;0;1;0;1;1;0;0;0;0
nagonski;1;0;1;0;1;1;0;0;0;0
institut;0;0;0;0;0;0;0;0;0;1
pou?iti;1;0;0;0;0;0;0;0;0;1
pou?avanje;1;0;0;0;0;0;0;0;0;1
poduka;1;0;0;0;0;0;0;0;0;1
upute;0;0;0;1;0;0;0;0;0;1
instruktor;1;0;0;1;0;0;0;0;0;1
u?itelj;1;0;0;1;0;0;0;0;0;1
nastavnik;1;0;0;1;0;0;0;0;0;1
važan;1;0;0;0;0;0;0;0;0;0
klju?an;1;0;0;0;0;0;0;0;0;0
nedovoljnost;0;1;1;0;0;0;0;0;0;0
nedostatnost;0;1;1;0;0;0;0;0;0;0
nedovoljan;0;1;0;0;0;0;0;0;0;0
nedostatan;0;1;0;0;0;0;0;0;0;0
nedovoljno;0;1;0;0;0;0;0;0;0;0
nedostatno;0;1;0;0;0;0;0;0;0;0
izolacija;0;0;0;0;0;0;0;0;0;1
uvreda;0;1;1;0;1;0;0;1;1;0
uvrijediti;0;1;1;0;1;0;0;1;1;0
uvredljiv;0;1;1;0;1;1;0;1;0;0
osigurati;1;0;0;0;0;0;0;0;0;1
pobunjenik;0;1;0;0;0;0;0;0;0;0
nepremostiv;0;1;0;0;0;1;0;1;0;0
ustanak;0;1;1;0;0;0;0;0;0;0
netaknut;1;0;0;0;0;0;0;0;0;1
integritet;1;0;0;0;0;0;0;0;0;1
intelekt;1;0;0;0;0;0;0;0;0;0
inteligencija;1;0;0;0;0;0;0;0;0;0
intelektualac;1;0;0;0;0;0;0;0;0;0
intelektualan;1;0;0;0;0;0;0;0;0;0
inteligencija;1;0;0;0;0;1;1;0;0;1
inteligentan;1;0;0;0;0;0;0;0;0;1
namjeravati;0;0;0;0;0;0;0;0;0;1
naumiti;0;0;0;0;0;0;0;0;0;1
smjerati;0;0;0;0;0;0;0;0;0;1
željeni;1;0;0;1;0;0;0;0;0;0
intenzivan;1;1;1;0;1;1;1;0;1;1
sahraniti;0;1;0;0;0;0;0;1;0;0
posredovati;0;0;0;0;0;1;0;1;0;0
posredovanje;0;0;0;0;0;0;0;0;0;1
komunikacija;1;0;0;0;0;0;0;0;0;0
zabrana;0;1;0;0;0;0;0;0;0;0
interes;1;0;0;0;0;0;0;0;0;0
zainteresiran;1;0;0;0;1;0;0;1;0;0
zanimljiv;1;0;0;0;0;0;0;0;0;0
interferencija;0;1;0;0;0;0;0;0;0;0
smetnja;0;1;0;0;0;0;0;0;0;0
privremen;0;0;0;1;0;0;0;0;0;0
unutrašnjost;1;0;0;0;1;0;0;0;0;1
privremen;1;0;0;0;0;0;0;0;0;0
me?uigra;1;0;0;0;0;0;0;0;0;0
interludij;1;0;0;0;0;0;0;0;0;0
sahrana;0;1;0;0;0;0;0;1;0;0
pokop;0;1;0;0;0;0;0;1;0;0
beskona?an;1;1;1;1;0;0;0;0;0;0
stanka;0;0;0;1;0;0;0;0;0;0
saslušati;0;0;0;0;0;1;0;0;0;0
ispitati;0;0;0;0;0;1;0;0;0;0
saslušanje;0;0;0;0;0;1;0;0;0;0
prekinuti;0;1;1;0;0;0;0;0;1;0
prekinut;0;1;0;0;0;0;0;1;0;0
intervencija;1;1;0;0;0;0;0;1;0;0
posredovanje;1;1;0;0;0;0;0;1;0;0
anketar;0;0;0;0;0;1;0;0;0;0
bezoporu?an;0;1;0;0;0;0;0;0;0;0
crijevni;0;0;0;0;1;0;0;0;0;0
intiman;1;0;0;1;0;0;1;0;0;1
prisan;1;0;0;1;0;0;1;0;0;1
prisno;0;0;0;1;0;1;1;0;0;0
intimno;0;0;0;1;0;1;1;0;0;0
zastrašiti;0;1;0;0;0;1;0;0;0;0
prijetnja;0;1;1;0;0;1;0;0;0;0
zastrašivanje;0;1;1;0;0;1;0;0;0;0
nepodnošljiv;0;1;1;0;0;0;0;0;0;0
netolerantnost;0;1;1;0;1;1;0;0;0;0
netolerantan;0;1;1;0;1;1;0;1;0;0
intonacija;1;0;0;0;0;0;0;0;0;0
pijan;0;1;0;0;1;0;0;0;0;0
omamljen;0;1;0;0;1;0;0;0;0;0
neukrotiv;0;1;1;0;0;0;0;0;0;0
neustrašiv;1;0;0;0;0;0;0;0;0;0
spletka;0;1;0;1;0;1;0;0;1;0
uljez;0;1;1;0;0;1;0;0;1;0
provalnik;0;1;1;0;0;1;0;0;1;0
prodor;0;1;0;0;0;1;0;0;0;0
nametljiv;0;1;1;0;1;1;0;0;1;0
intuicija;1;0;0;0;0;0;0;0;0;1
intuitivan;1;0;0;0;0;0;0;0;0;0
intuitivno;0;0;0;1;0;0;0;0;0;0
napasti;0;1;1;0;0;1;0;1;1;0
prodrijeti;0;1;1;0;0;1;0;1;1;0
napada?;0;1;1;0;0;1;0;1;0;0
invazor;0;1;1;0;0;1;0;1;0;0
nevaže?i;0;0;0;0;0;0;0;1;0;0
invalid;0;0;0;0;0;0;0;1;0;0
poništiti;0;1;0;0;0;0;0;0;0;0
poništenje;0;1;0;0;0;0;0;0;0;0
nevaženje;0;1;0;0;0;0;0;0;0;0
invalidnost;0;1;0;0;0;0;0;0;0;0
uvijek;1;0;0;0;0;0;0;0;0;0
invazija;0;1;1;0;0;0;0;0;0;0
inventivan;1;0;0;0;0;0;0;0;0;0
domišljat;1;0;0;0;0;0;0;0;0;0
dosjetljiv;1;0;0;0;0;0;0;0;0;0
izumitelj;1;0;0;0;0;0;0;0;0;0
istražiti;1;0;0;0;0;0;0;0;0;0
istraga;0;0;0;1;0;0;0;0;0;0
okrijepiti;1;0;0;0;0;0;0;0;0;0
oja?ati;1;0;0;0;0;0;0;0;0;0
pozivnica;1;0;0;1;0;0;0;0;0;0
pozvati;1;0;0;1;0;0;1;0;1;1
primamljiv;1;0;0;1;0;0;1;0;1;1
prizivanje;0;0;0;1;0;0;0;0;0;1
prizvati;0;0;0;1;0;0;0;0;0;0
nehoti?an;0;1;0;0;0;0;0;0;0;0
involucija;0;1;1;0;0;0;0;0;0;0
sudjelovanje;0;0;1;0;0;0;0;0;0;0
uklju?enost;0;0;1;0;0;0;0;0;0;0
