"date","posts","collected","z","dow"
"2024-12-15",416,TRUE,1.30658337790837,"7"
"2024-12-16",438,TRUE,1.51043348250238,"1"
"2024-12-17",368,TRUE,0.861819513339606,"2"
"2024-12-18",365,TRUE,0.834021771804058,"3"
"2024-12-19",461,TRUE,1.72354950094158,"4"
"2024-12-20",441,TRUE,1.53823122403793,"5"
"2024-12-21",305,TRUE,0.278066941093109,"6"
"2024-12-22",349,TRUE,0.685767150281139,"7"
"2024-12-23",474,TRUE,1.84400638092895,"1"
"2024-12-24",716,TRUE,4.08635753146311,"2"
"2024-12-25",1050,TRUE,7.18117275575406,"3"
"2024-12-26",478,TRUE,1.88107003630968,"4"
"2024-12-27",403,TRUE,1.18612649792099,"5"
"2024-12-28",357,TRUE,0.759894461042599,"6"
"2024-12-29",338,TRUE,0.583842097984131,"7"
"2024-12-30",267,TRUE,-0.0740377850238255,"1"
"2024-12-31",236,TRUE,-0.361281114224483,"2"
