rid,DATE,FROM,otype,c_infl,c_link,c_foreign,c_register,domestic,n_ann
644176,2026-02-06,zagreb.info,Secular/other,1,0,0,none,0,3
644230,2026-02-06,direktno.hr,Secular/other,1,0,0,none,0,3
644246,2026-02-06,dnevno.hr,Secular/other,1,0,0,none,0,3
644941,2026-02-11,magicus.info,Secular/other,0,0,0,none,0,3
645752,2026-02-15,istrain.hr,Secular/other,1,0,0,none,0,3
646961,2026-02-21,bloombergadria.com,Business,1,0,1,none,0,3
647258,2026-02-20,croativ.net,Secular/other,1,0,1,none,0,3
647839,2026-03-13,dnevnik.hr,Secular/other,1,0,1,none,0,3
647863,2026-03-13,zagreb.info,Secular/other,1,0,0,none,0,3
648956,2026-03-15,narod.hr,Secular/other,1,0,1,none,0,3
650144,2026-03-29,24sata.hr,Secular/other,1,1,0,charity,1,3
651408,2026-03-31,24sata.hr,Secular/other,1,0,0,none,0,3
651452,2026-03-31,dnevnik.hr,Secular/other,1,0,0,none,0,3
651480,2026-03-31,hrportfolio.hr,Secular/other,1,0,0,none,0,3
651519,2026-03-31,24sata.hr,Secular/other,1,0,0,none,0,3
651613,2026-03-31,agroklub.com,Secular/other,1,0,0,none,0,3
651633,2026-03-31,net.hr,Secular/other,1,0,0,none,0,3
653365,2026-04-02,novilist.hr,Secular/other,1,0,0,none,0,3
653619,2026-04-01,teleskop.hr,Secular/other,1,0,0,none,0,3
654897,2026-04-04,net.hr,Secular/other,1,0,0,none,0,3
654908,2026-04-04,crovijesti.com,Secular/other,1,0,0,none,0,3
655982,2026-04-03,slobodnadalmacija.hr,Secular/other,0,0,0,none,0,3
656112,2026-04-03,net.hr,Secular/other,1,0,0,none,0,2
656677,2026-04-06,poslovni.hr,Business,1,0,0,none,0,3
657474,2026-04-05,narod.hr,Secular/other,1,0,0,none,0,3
657630,2026-04-05,hkm.hr,Catholic,1,1,0,institution,1,3
658229,2026-04-05,vecernji.hr,Secular/other,1,1,0,devotional,1,3
658303,2026-04-05,hkm.hr,Catholic,1,1,0,devotional,1,3
659258,2026-04-07,gradonacelnik.hr,Secular/other,1,0,0,none,0,3
659552,2026-04-07,komarilos.com,Secular/other,1,0,0,none,0,3
659790,2026-04-07,czn.hr,Secular/other,1,1,0,devotional,1,3
660301,2026-04-10,radio-mreznica.hr,Secular/other,1,0,0,none,0,3
660359,2026-04-10,sbperiskop.net,Secular/other,1,0,0,none,0,3
660416,2026-04-09,poslovni.hr,Business,1,0,1,none,0,3
660579,2026-04-09,glas-koncila.hr,Catholic,1,0,0,none,0,3
660857,2026-04-09,hkm.hr,Catholic,1,0,0,none,0,3
661165,2026-04-12,dalmatinskiportal.hr,Secular/other,1,0,0,none,0,3
661736,2026-04-11,index.hr,Secular/other,1,0,1,none,0,3
662117,2026-04-11,mojzagreb.info,Secular/other,1,0,0,none,0,3
662708,2026-04-14,tris.com.hr,Secular/other,1,0,0,none,0,3
662863,2026-04-14,croativ.net,Secular/other,0,0,1,none,0,3
663472,2026-04-13,jutarnji.hr,Secular/other,1,0,1,none,0,3
663473,2026-04-13,jutarnji.hr,Secular/other,1,0,1,none,0,3
663554,2026-04-13,jutarnji.hr,Secular/other,1,0,1,none,0,3
663712,2026-04-16,virovitica.net,Secular/other,1,0,0,none,0,3
664224,2026-04-15,croativ.net,Secular/other,0,0,1,none,0,3
664822,2026-04-15,sbperiskop.net,Secular/other,1,0,0,none,0,3
664854,2026-04-15,croativ.net,Secular/other,0,0,1,none,0,3
664882,2026-04-18,zagreb.info,Secular/other,1,1,0,cost_relig_life,1,3
665833,2026-04-17,nacional.hr,Secular/other,1,0,0,none,0,3
665858,2026-04-17,telegram.hr,Secular/other,1,0,1,none,0,3
665930,2026-04-17,mojzagreb.info,Secular/other,1,0,0,none,0,3
666632,2026-04-19,DNEVNIK.hr,Secular/other,1,1,0,cost_relig_life,1,3
666642,2026-04-19,dnevnik.hr,Secular/other,1,1,0,cost_relig_life,1,3
666764,2026-04-19,dnevnik.hr,Secular/other,1,1,0,cost_relig_life,1,3
666830,2026-04-19,net.hr,Secular/other,0,1,0,disputed,0,3
667099,2026-04-22,hrt.hr,Secular/other,1,0,0,none,0,3
667101,2026-04-22,narod.hr,Secular/other,1,0,0,none,0,3
667305,2026-04-22,dnevnik.hr,Secular/other,1,0,0,none,0,3
667359,2026-04-22,komarilos.com,Secular/other,1,0,0,none,0,3
667367,2026-04-22,dalmatinskiportal.hr,Secular/other,1,0,0,none,0,3
667482,2026-04-22,novilist.hr,Secular/other,1,0,0,none,0,3
667487,2026-04-22,dnevno.hr,Secular/other,1,0,0,none,0,3
