"domain","linked_pairs","core_pairs","detected_rate","specification","omitted_terms"
"unemployment",3335,30,0.8996,"leave_out_sollicitudo_rei_soc","sollicitudo_rei_soc"
"wages_income",9776,44,0.4501,"leave_out_sollicitudo_rei_soc","sollicitudo_rei_soc"
"poverty_social",31354,581,1.853,"leave_out_sollicitudo_rei_soc","sollicitudo_rei_soc"
"macro_aggregates",1938,92,4.7472,"leave_out_centesimus_annus","centesimus_annus"
"euro_changeover",243,0,0,"leave_out_centesimus_annus","centesimus_annus"
"taxes_fiscal",14110,207,1.467,"leave_out_centesimus_annus","centesimus_annus"
"business_comp",13143,120,0.913,"leave_out_centesimus_annus","centesimus_annus"
"green_energy",1559,202,12.957,"leave_out_centesimus_annus","centesimus_annus"
"housing",2627,1,0.0381,"leave_out_centesimus_annus","centesimus_annus"
"demography_econ",567,3,0.5291,"leave_out_centesimus_annus","centesimus_annus"
"inflation_prices",787,1,0.1271,"leave_out_centesimus_annus","centesimus_annus"
"unemployment",3335,29,0.8696,"leave_out_centesimus_annus","centesimus_annus"
"wages_income",9776,44,0.4501,"leave_out_centesimus_annus","centesimus_annus"
"poverty_social",31354,586,1.869,"leave_out_centesimus_annus","centesimus_annus"
"macro_aggregates",1938,94,4.8504,"leave_out_caritas_in_veritate","caritas_in_veritate"
"euro_changeover",243,0,0,"leave_out_caritas_in_veritate","caritas_in_veritate"
"taxes_fiscal",14110,205,1.4529,"leave_out_caritas_in_veritate","caritas_in_veritate"
"business_comp",13143,121,0.9206,"leave_out_caritas_in_veritate","caritas_in_veritate"
"green_energy",1559,202,12.957,"leave_out_caritas_in_veritate","caritas_in_veritate"
"housing",2627,1,0.0381,"leave_out_caritas_in_veritate","caritas_in_veritate"
"demography_econ",567,3,0.5291,"leave_out_caritas_in_veritate","caritas_in_veritate"
"inflation_prices",787,1,0.1271,"leave_out_caritas_in_veritate","caritas_in_veritate"
"unemployment",3335,30,0.8996,"leave_out_caritas_in_veritate","caritas_in_veritate"
"wages_income",9776,44,0.4501,"leave_out_caritas_in_veritate","caritas_in_veritate"
"poverty_social",31354,581,1.853,"leave_out_caritas_in_veritate","caritas_in_veritate"
"macro_aggregates",1938,88,4.5408,"leave_out_evangelii_gaudium","evangelii_gaudium"
"euro_changeover",243,0,0,"leave_out_evangelii_gaudium","evangelii_gaudium"
"taxes_fiscal",14110,192,1.3607,"leave_out_evangelii_gaudium","evangelii_gaudium"
"business_comp",13143,117,0.8902,"leave_out_evangelii_gaudium","evangelii_gaudium"
"green_energy",1559,201,12.8929,"leave_out_evangelii_gaudium","evangelii_gaudium"
"housing",2627,1,0.0381,"leave_out_evangelii_gaudium","evangelii_gaudium"
"demography_econ",567,3,0.5291,"leave_out_evangelii_gaudium","evangelii_gaudium"
"inflation_prices",787,0,0,"leave_out_evangelii_gaudium","evangelii_gaudium"
"unemployment",3335,30,0.8996,"leave_out_evangelii_gaudium","evangelii_gaudium"
"wages_income",9776,34,0.3478,"leave_out_evangelii_gaudium","evangelii_gaudium"
"poverty_social",31354,505,1.6106,"leave_out_evangelii_gaudium","evangelii_gaudium"
"macro_aggregates",1938,71,3.6636,"leave_out_laudato_si","laudato_si"
"euro_changeover",243,0,0,"leave_out_laudato_si","laudato_si"
"taxes_fiscal",14110,182,1.2899,"leave_out_laudato_si","laudato_si"
"business_comp",13143,95,0.7228,"leave_out_laudato_si","laudato_si"
"green_energy",1559,47,3.0148,"leave_out_laudato_si","laudato_si"
"housing",2627,1,0.0381,"leave_out_laudato_si","laudato_si"
"demography_econ",567,3,0.5291,"leave_out_laudato_si","laudato_si"
"inflation_prices",787,1,0.1271,"leave_out_laudato_si","laudato_si"
"unemployment",3335,27,0.8096,"leave_out_laudato_si","laudato_si"
"wages_income",9776,43,0.4399,"leave_out_laudato_si","laudato_si"
"poverty_social",31354,459,1.4639,"leave_out_laudato_si","laudato_si"
"macro_aggregates",1938,93,4.7988,"leave_out_fratelli_tutti","fratelli_tutti"
"euro_changeover",243,0,0,"leave_out_fratelli_tutti","fratelli_tutti"
"taxes_fiscal",14110,196,1.3891,"leave_out_fratelli_tutti","fratelli_tutti"
"business_comp",13143,114,0.8674,"leave_out_fratelli_tutti","fratelli_tutti"
"green_energy",1559,200,12.8287,"leave_out_fratelli_tutti","fratelli_tutti"
"housing",2627,0,0,"leave_out_fratelli_tutti","fratelli_tutti"
"demography_econ",567,3,0.5291,"leave_out_fratelli_tutti","fratelli_tutti"
"inflation_prices",787,1,0.1271,"leave_out_fratelli_tutti","fratelli_tutti"
"unemployment",3335,29,0.8696,"leave_out_fratelli_tutti","fratelli_tutti"
"wages_income",9776,43,0.4399,"leave_out_fratelli_tutti","fratelli_tutti"
"poverty_social",31354,486,1.55,"leave_out_fratelli_tutti","fratelli_tutti"
"macro_aggregates",1938,94,4.8504,"leave_out_laudate_deum","laudate_deum"
"euro_changeover",243,0,0,"leave_out_laudate_deum","laudate_deum"
"taxes_fiscal",14110,207,1.467,"leave_out_laudate_deum","laudate_deum"
"business_comp",13143,121,0.9206,"leave_out_laudate_deum","laudate_deum"
"green_energy",1559,193,12.3797,"leave_out_laudate_deum","laudate_deum"
"housing",2627,1,0.0381,"leave_out_laudate_deum","laudate_deum"
"demography_econ",567,3,0.5291,"leave_out_laudate_deum","laudate_deum"
"inflation_prices",787,1,0.1271,"leave_out_laudate_deum","laudate_deum"
"unemployment",3335,30,0.8996,"leave_out_laudate_deum","laudate_deum"
"wages_income",9776,44,0.4501,"leave_out_laudate_deum","laudate_deum"
"poverty_social",31354,584,1.8626,"leave_out_laudate_deum","laudate_deum"
"macro_aggregates",1938,93,4.7988,"leave_out_dignitas_infinita","dignitas_infinita"
"euro_changeover",243,0,0,"leave_out_dignitas_infinita","dignitas_infinita"
"taxes_fiscal",14110,208,1.4741,"leave_out_dignitas_infinita","dignitas_infinita"
"business_comp",13143,121,0.9206,"leave_out_dignitas_infinita","dignitas_infinita"
