"ym","data_source","n","domain"
"2023-05","original_dta",27,"demography_econ"
"2023-06","original_dta",35,"demography_econ"
"2023-07","original_dta",45,"demography_econ"
"2023-08","original_dta",34,"demography_econ"
"2023-09","original_dta",44,"demography_econ"
"2023-10","original_dta",41,"demography_econ"
"2023-11","original_dta",34,"demography_econ"
"2023-12","original_dta",33,"demography_econ"
"2024-01","original_dta",6,"demography_econ"
"2024-06","original_dta",65,"demography_econ"
"2024-07","filtered_religious",203,"demography_econ"
"2024-07","original_dta",4,"demography_econ"
"2024-08","filtered_religious",100,"demography_econ"
"2024-09","filtered_religious",121,"demography_econ"
"2024-10","filtered_religious",278,"demography_econ"
"2024-11","filtered_religious",237,"demography_econ"
"2024-12","filtered_religious",218,"demography_econ"
"2025-01","filtered_religious",136,"demography_econ"
"2025-02","filtered_religious",164,"demography_econ"
"2025-03","filtered_religious",264,"demography_econ"
"2025-04","filtered_religious",103,"demography_econ"
"2025-05","filtered_religious",135,"demography_econ"
"2025-06","filtered_religious",175,"demography_econ"
"2025-07","filtered_religious",163,"demography_econ"
"2025-08","filtered_religious",145,"demography_econ"
"2025-09","filtered_religious",138,"demography_econ"
"2025-10","filtered_religious",236,"demography_econ"
"2025-11","filtered_religious",203,"demography_econ"
"2025-12","filtered_religious",318,"demography_econ"
"2026-01","filtered_religious",202,"demography_econ"
"2026-02","filtered_religious",189,"demography_econ"
"2026-03","filtered_religious",193,"demography_econ"
"2026-04","filtered_religious",203,"demography_econ"
"2026-05","filtered_religious",272,"demography_econ"
"2026-06","filtered_religious",64,"demography_econ"
"2021-01","original_dta",48,"inflation_prices"
"2021-02","original_dta",44,"inflation_prices"
"2021-03","original_dta",39,"inflation_prices"
"2021-04","original_dta",28,"inflation_prices"
"2021-05","original_dta",23,"inflation_prices"
"2021-06","original_dta",25,"inflation_prices"
"2021-07","original_dta",16,"inflation_prices"
"2021-08","original_dta",35,"inflation_prices"
"2021-09","original_dta",22,"inflation_prices"
"2021-10","original_dta",55,"inflation_prices"
"2021-11","original_dta",47,"inflation_prices"
"2021-12","original_dta",54,"inflation_prices"
"2022-01","original_dta",126,"inflation_prices"
"2022-02","original_dta",92,"inflation_prices"
"2022-03","original_dta",97,"inflation_prices"
"2022-04","original_dta",142,"inflation_prices"
"2022-05","original_dta",106,"inflation_prices"
"2022-06","original_dta",118,"inflation_prices"
"2022-07","original_dta",61,"inflation_prices"
"2022-08","original_dta",105,"inflation_prices"
"2022-09","original_dta",120,"inflation_prices"
"2022-10","original_dta",119,"inflation_prices"
"2022-11","original_dta",81,"inflation_prices"
"2022-12","original_dta",198,"inflation_prices"
"2023-01","original_dta",93,"inflation_prices"
"2023-02","original_dta",55,"inflation_prices"
"2023-03","original_dta",90,"inflation_prices"
"2023-04","original_dta",110,"inflation_prices"
"2023-05","original_dta",59,"inflation_prices"
"2023-06","original_dta",44,"inflation_prices"
"2023-07","original_dta",40,"inflation_prices"
"2023-08","original_dta",71,"inflation_prices"
"2023-09","original_dta",42,"inflation_prices"
"2023-10","original_dta",56,"inflation_prices"
"2023-11","original_dta",50,"inflation_prices"
"2023-12","original_dta",91,"inflation_prices"
"2024-01","original_dta",25,"inflation_prices"
"2024-06","original_dta",99,"inflation_prices"
"2024-07","filtered_religious",178,"inflation_prices"
"2024-07","original_dta",1,"inflation_prices"
"2024-08","filtered_religious",117,"inflation_prices"
"2024-09","filtered_religious",81,"inflation_prices"
"2024-10","filtered_religious",193,"inflation_prices"
"2024-11","filtered_religious",225,"inflation_prices"
"2024-12","filtered_religious",296,"inflation_prices"
"2025-01","filtered_religious",202,"inflation_prices"
"2025-02","filtered_religious",266,"inflation_prices"
"2025-03","filtered_religious",226,"inflation_prices"
"2025-04","filtered_religious",152,"inflation_prices"
"2025-05","filtered_religious",116,"inflation_prices"
"2025-06","filtered_religious",180,"inflation_prices"
"2025-07","filtered_religious",180,"inflation_prices"
"2025-08","filtered_religious",136,"inflation_prices"
"2025-09","filtered_religious",131,"inflation_prices"
"2025-10","filtered_religious",257,"inflation_prices"
"2025-11","filtered_religious",221,"inflation_prices"
"2025-12","filtered_religious",316,"inflation_prices"
"2026-01","filtered_religious",427,"inflation_prices"
"2026-02","filtered_religious",226,"inflation_prices"
"2026-03","filtered_religious",571,"inflation_prices"
"2026-04","filtered_religious",482,"inflation_prices"
"2026-05","filtered_religious",440,"inflation_prices"
"2026-06","filtered_religious",132,"inflation_prices"
"2021-01","original_dta",648,"unemployment"
"2021-02","original_dta",255,"unemployment"
"2021-03","original_dta",357,"unemployment"
"2021-04","original_dta",263,"unemployment"
"2021-05","original_dta",259,"unemployment"
"2021-06","original_dta",186,"unemployment"
"2021-07","original_dta",184,"unemployment"
"2021-08","original_dta",151,"unemployment"
"2021-09","original_dta",168,"unemployment"
"2021-10","original_dta",302,"unemployment"
"2021-11","original_dta",390,"unemployment"
"2021-12","original_dta",348,"unemployment"
"2022-01","original_dta",284,"unemployment"
"2022-02","original_dta",172,"unemployment"
"2022-03","original_dta",179,"unemployment"
"2022-04","original_dta",183,"unemployment"
"2022-05","original_dta",189,"unemployment"
"2022-06","original_dta",195,"unemployment"
"2022-07","original_dta",122,"unemployment"
"2022-08","original_dta",126,"unemployment"
"2022-09","original_dta",165,"unemployment"
"2022-10","original_dta",166,"unemployment"
"2022-11","original_dta",168,"unemployment"
"2022-12","original_dta",257,"unemployment"
"2023-01","original_dta",163,"unemployment"
"2023-02","original_dta",159,"unemployment"
"2023-03","original_dta",215,"unemployment"
"2023-04","original_dta",134,"unemployment"
"2023-05","original_dta",159,"unemployment"
"2023-06","original_dta",168,"unemployment"
"2023-07","original_dta",119,"unemployment"
"2023-08","original_dta",101,"unemployment"
"2023-09","original_dta",146,"unemployment"
"2023-10","original_dta",162,"unemployment"
"2023-11","original_dta",162,"unemployment"
"2023-12","original_dta",189,"unemployment"
"2024-01","original_dta",34,"unemployment"
"2024-06","original_dta",258,"unemployment"
"2024-07","filtered_religious",510,"unemployment"
"2024-07","original_dta",18,"unemployment"
"2024-08","filtered_religious",517,"unemployment"
"2024-09","filtered_religious",253,"unemployment"
"2024-10","filtered_religious",626,"unemployment"
"2024-11","filtered_religious",692,"unemployment"
"2024-12","filtered_religious",846,"unemployment"
"2025-01","filtered_religious",503,"unemployment"
"2025-02","filtered_religious",635,"unemployment"
"2025-03","filtered_religious",655,"unemployment"
"2025-04","filtered_religious",488,"unemployment"
"2025-05","filtered_religious",575,"unemployment"
"2025-06","filtered_religious",583,"unemployment"
"2025-07","filtered_religious",556,"unemployment"
"2025-08","filtered_religious",531,"unemployment"
"2025-09","filtered_religious",404,"unemployment"
"2025-10","filtered_religious",862,"unemployment"
"2025-11","filtered_religious",703,"unemployment"
"2025-12","filtered_religious",707,"unemployment"
"2026-01","filtered_religious",533,"unemployment"
"2026-02","filtered_religious",558,"unemployment"
"2026-03","filtered_religious",732,"unemployment"
"2026-04","filtered_religious",626,"unemployment"
"2026-05","filtered_religious",834,"unemployment"
"2026-06","filtered_religious",317,"unemployment"
"2021-01","original_dta",333,"wages_income"
"2021-02","original_dta",177,"wages_income"
"2021-03","original_dta",147,"wages_income"
"2021-04","original_dta",134,"wages_income"
"2021-05","original_dta",135,"wages_income"
"2021-06","original_dta",95,"wages_income"
"2021-07","original_dta",147,"wages_income"
"2021-08","original_dta",164,"wages_income"
"2021-09","original_dta",155,"wages_income"
"2021-10","original_dta",168,"wages_income"
"2021-11","original_dta",186,"wages_income"
"2021-12","original_dta",180,"wages_income"
"2022-01","original_dta",192,"wages_income"
"2022-02","original_dta",132,"wages_income"
"2022-03","original_dta",138,"wages_income"
"2022-04","original_dta",117,"wages_income"
"2022-05","original_dta",121,"wages_income"
"2022-06","original_dta",125,"wages_income"
"2022-07","original_dta",77,"wages_income"
"2022-08","original_dta",141,"wages_income"
"2022-09","original_dta",126,"wages_income"
"2022-10","original_dta",171,"wages_income"
"2022-11","original_dta",163,"wages_income"
"2022-12","original_dta",180,"wages_income"
"2023-01","original_dta",170,"wages_income"
"2023-02","original_dta",160,"wages_income"
"2023-03","original_dta",185,"wages_income"
"2023-04","original_dta",153,"wages_income"
"2023-05","original_dta",139,"wages_income"
"2023-06","original_dta",120,"wages_income"
"2023-07","original_dta",127,"wages_income"
"2023-08","original_dta",174,"wages_income"
"2023-09","original_dta",124,"wages_income"
"2023-10","original_dta",123,"wages_income"
"2023-11","original_dta",114,"wages_income"
"2023-12","original_dta",147,"wages_income"
"2024-01","original_dta",21,"wages_income"
"2024-06","original_dta",123,"wages_income"
"2024-07","filtered_religious",406,"wages_income"
"2024-07","original_dta",3,"wages_income"
"2024-08","filtered_religious",344,"wages_income"
"2024-09","filtered_religious",182,"wages_income"
"2024-10","filtered_religious",392,"wages_income"
"2024-11","filtered_religious",470,"wages_income"
"2024-12","filtered_religious",513,"wages_income"
"2025-01","filtered_religious",342,"wages_income"
"2025-02","filtered_religious",356,"wages_income"
"2025-03","filtered_religious",522,"wages_income"
"2025-04","filtered_religious",310,"wages_income"
"2025-05","filtered_religious",321,"wages_income"
"2025-06","filtered_religious",314,"wages_income"
"2025-07","filtered_religious",350,"wages_income"
"2025-08","filtered_religious",394,"wages_income"
"2025-09","filtered_religious",281,"wages_income"
"2025-10","filtered_religious",408,"wages_income"
"2025-11","filtered_religious",408,"wages_income"
"2025-12","filtered_religious",445,"wages_income"
"2026-01","filtered_religious",386,"wages_income"
"2026-02","filtered_religious",314,"wages_income"
"2026-03","filtered_religious",395,"wages_income"
"2026-04","filtered_religious",425,"wages_income"
"2026-05","filtered_religious",511,"wages_income"
"2026-06","filtered_religious",168,"wages_income"
"2021-01","original_dta",1699,"poverty_social"
"2021-02","original_dta",884,"poverty_social"
"2021-03","original_dta",814,"poverty_social"
"2021-04","original_dta",807,"poverty_social"
"2021-05","original_dta",541,"poverty_social"
"2021-06","original_dta",504,"poverty_social"
"2021-07","original_dta",531,"poverty_social"
"2021-08","original_dta",622,"poverty_social"
"2021-09","original_dta",729,"poverty_social"
"2021-10","original_dta",827,"poverty_social"
