scenario,voice,era,halfyear,platform_group,posts,interactions,interactions_observed,reach,interactions_per_post
broad,secular,post,2025H1,other,99,164573,1,1780291,1662.35353535354
broad,official,post,2026H1,web,5442,244018,1,4574663,44.8397647923558
broad,portal,post,2026H1,web,1585,21409,1,1048647,13.5072555205047
broad,lay_media,post,2026H1,facebook,3474,368221,1,28446809,105.993379389752
broad,secular,post,2026H1,facebook,729,133286,1,35545730,182.83401920439
broad,secular,post,2026H1,web,4871,141637,1,19968402,29.0776021350852
broad,lay_media,post,2026H1,web,3912,465563,1,6130769,119.008946830266
broad,official,post,2026H1,facebook,438,64969,1,2982647,148.331050228311
broad,creators,post,2026H1,facebook,230,29400,1,1974254,127.826086956522
broad,secular,post,2026H1,video,4,71,1,3924,17.75
broad,lay_media,post,2026H1,video,43,10575,1,351767,245.93023255814
broad,portal,post,2026H1,facebook,297,30546,1,3498800,102.848484848485
broad,creators,post,2026H1,video,22,3290,1,30540,149.545454545455
broad,official,post,2026H1,video,8,112,1,3057,14
broad,secular,post,2026H1,other,41,35709,1,460526,870.951219512195
broad,official,post,2025H1,other,16,1096,1,19114,68.5
broad,lay_media,post,2025H1,other,6,679,1,8025,113.166666666667
broad,secular,post,2024H2,other,19,17258,1,314065,908.315789473684
broad,secular,post,2024H2,video,46,4197,1,248697,91.2391304347826
broad,official,post,2024H2,video,130,21085,1,431981,162.192307692308
broad,secular,post,2024H2,facebook,197,56735,1,9681771,287.994923857868
broad,portal,post,2024H2,facebook,182,7740,1,1588625,42.5274725274725
broad,official,post,2025H2,web,5670,323535,1,6684997,57.0608465608466
broad,lay_media,post,2025H2,video,1180,473305,1,10295125,401.10593220339
broad,secular,post,2025H2,facebook,829,248992,1,41696232,300.352231604343
broad,secular,post,2025H2,web,4833,854392,1,32134062,176.782950548314
broad,portal,post,2025H2,web,1406,103161,1,2164599,73.3719772403983
broad,lay_media,post,2025H2,web,3190,259543,1,4395609,81.3614420062696
broad,creators,post,2025H2,video,982,177895,1,2150785,181.155804480652
broad,lay_media,post,2025H2,facebook,3513,417324,1,31173051,118.794192997438
broad,portal,post,2025H2,facebook,335,30903,1,3883751,92.2477611940299
